"Ix","Iz"
-1e-08,2
-1.07189131921e-08,2
-1.14895100019e-08,2
-1.23155060329e-08,2
-1.32008840083e-08,2
-1.41499129743e-08,2
-1.51671688847e-08,2
-1.62575566644e-08,2
-1.74263338601e-08,2
-1.86791359902e-08,2
-2.00220037182e-08,2
-2.14614119786e-08,2
-2.30043011977e-08,2
-2.46581107582e-08,2
-2.64308148697e-08,2
-2.83309610184e-08,2
-3.03677111804e-08,2
-3.25508859984e-08,2
-3.48910121341e-08,2
-3.73993730248e-08,2
-4.0088063289e-08,2
-4.29700470432e-08,2
-4.60592204115e-08,2
-4.93704785284e-08,2
-5.29197873596e-08,2
-5.67242606849e-08,2
-6.08022426165e-08,2
-6.51733960488e-08,2
-6.98587974679e-08,2
-7.48810385759e-08,2
-8.02643352226e-08,2
-8.60346441668e-08,2
-9.22197882333e-08,2
-9.88495904663e-08,2
-1.05956017928e-07,2
-1.13573335834e-07,2
-1.21738272774e-07,2
-1.30490197801e-07,2
-1.39871310265e-07,2
-1.49926843279e-07,2
-1.60705281826e-07,2
-1.7225859654e-07,2
-1.8464249429e-07,2
-1.97916686785e-07,2
-2.12145178491e-07,2
-2.27396575236e-07,2
-2.43744415012e-07,2
-2.61267522556e-07,2
-2.80050389418e-07,2
-3.00183581358e-07,2
-3.21764175025e-07,2
-3.44896226041e-07,2
-3.6969127072e-07,2
-3.9626886387e-07,2
-4.24757155254e-07,2
-4.55293507487e-07,2
-4.88025158365e-07,2
-5.23109930806e-07,2
-5.60716993821e-07,2
-6.01027678207e-07,2
-6.44236350872e-07,2
-6.90551352016e-07,2
-7.40195999692e-07,2
-7.9340966658e-07,2
-8.5044893418e-07,2
-9.11588829975e-07,2
-9.77124153535e-07,2
-1.04737089796e-06,2
-1.12266777351e-06,2
-1.20337784078e-06,2
-1.28989026125e-06,2
-1.38262217376e-06,2
-1.4820207058e-06,2
-1.58856512943e-06,2
-1.70276917223e-06,2
-1.82518349432e-06,2
-1.95639834352e-06,2
-2.09704640132e-06,2
-2.24780583355e-06,2
-2.40940356024e-06,2
-2.58261876068e-06,2
-2.76828663039e-06,2
-2.96730240819e-06,2
-3.18062569279e-06,2
-3.40928506975e-06,2
-3.65438307096e-06,2
-3.91710149081e-06,2
-4.19870708444e-06,2
-4.5005576757e-06,2
-4.82410870417e-06,2
-5.1709202429e-06,2
-5.54266452066e-06,2
-5.94113398497e-06,2
-6.36824994472e-06,2
-6.82607183427e-06,2
-7.31680714343e-06,2
-7.84282206134e-06,2
-8.40665288562e-06,2
-9.01101825167e-06,2
-9.65883224116e-06,2
-1.0353218433e-05,2
-1.10975249641e-05,2
-1.18953406737e-05,2
